Month,Average_Arrests,Std_Dev,Min_Arrests,Max_Arrests
April,53.0,39.66358531449218,11,103
August,57.0,32.90592651787821,13,99
December,48.333333333333336,30.813416991087934,18,94
February,52.666666666666664,33.89788587311408,19,99
January,52.666666666666664,35.41562743573332,21,108
July,57.166666666666664,41.791944997411484,5,115
June,64.16666666666667,46.90167019058774,9,122
March,54.0,37.96840792026971,9,107
May,54.0,39.05892983685037,11,105
November,51.666666666666664,29.57476401709178,18,91
October,54.666666666666664,34.22669523437322,14,105
September,65.5,42.98720739941128,11,121
